sample,concentration,use_in_fit,n_substitutions,n_variants,censored,probability escape
LibB-230720-m102-0.3,0.3,True,0,7234,"censored to [0, 1]",0.2889
LibB-230720-m102-0.3,0.3,True,1,38211,"censored to [0, 1]",0.3199
LibB-230720-m102-0.3,0.3,True,2,11637,"censored to [0, 1]",0.3411
LibB-230720-m102-0.3,0.3,True,>2,1969,"censored to [0, 1]",0.3398
LibB-230720-m102-0.8,0.8,True,0,7234,"censored to [0, 1]",0.01488
LibB-230720-m102-0.8,0.8,True,1,38217,"censored to [0, 1]",0.02213
LibB-230720-m102-0.8,0.8,True,2,11654,"censored to [0, 1]",0.02908
LibB-230720-m102-0.8,0.8,True,>2,1968,"censored to [0, 1]",0.03026
LibB-230720-m102-1.2,1.2,True,0,7231,"censored to [0, 1]",0.003412
LibB-230720-m102-1.2,1.2,True,1,38190,"censored to [0, 1]",0.008361
LibB-230720-m102-1.2,1.2,True,2,11620,"censored to [0, 1]",0.01229
LibB-230720-m102-1.2,1.2,True,>2,1963,"censored to [0, 1]",0.01553
LibB-230720-m102-0.3,0.3,True,0,7234,not censored,0.2921
LibB-230720-m102-0.3,0.3,True,1,38211,not censored,0.3395
LibB-230720-m102-0.3,0.3,True,2,11637,not censored,0.3785
LibB-230720-m102-0.3,0.3,True,>2,1969,not censored,0.3919
LibB-230720-m102-0.8,0.8,True,0,7234,not censored,0.01546
LibB-230720-m102-0.8,0.8,True,1,38217,not censored,0.027
LibB-230720-m102-0.8,0.8,True,2,11654,not censored,0.03802
LibB-230720-m102-0.8,0.8,True,>2,1968,not censored,0.04087
LibB-230720-m102-1.2,1.2,True,0,7231,not censored,0.003412
LibB-230720-m102-1.2,1.2,True,1,38190,not censored,0.01087
LibB-230720-m102-1.2,1.2,True,2,11620,not censored,0.01725
LibB-230720-m102-1.2,1.2,True,>2,1963,not censored,0.02085
